word,image
家,집 가
歌,노래 가
間,사이 간
江,강 강
車,수레 차/거
工,장인 공
空,빌 공
口,입 구
旗,기 기
氣,기운 기
記,기록할 기
男,사내 남
內,안 내
農,농사 농
答,대답할 답
道,길 도
冬,겨울 동
動,움직일 동
同,한가지 동
洞,골짜기 동
登,오를 등
來,올 래
力,힘 력
老,늙을 로
里,마을 리
林,수풀 림
立,설 립
每,매양 매
面,낯 면
名,이름 명
命,목숨 명
問,물을 문
文,글월 문
物,물건 물
方,모 방
百,일백 백
夫,지아비 부
不,아닐 불
事,일 사
算,셈 산
上,윗 상
色,빛 색
夕,저녁 석
姓,성 성
世,인간 세
少,적을 소
所,바 소
手,손 수
數,셈 수
市,저자 시
時,때 시
植,심을 식
食,밥 식
心,마음 심
安,편안 안
語,말씀 어
然,그럴 연
午,낮 오
右,오른 우
有,있을 유
育,기를 육
邑,고을 읍
入,들 입
子,아들 자
字,글자 자
自,스스로 자
場,마당 장
全,온전할 전
前,앞 전
電,번개 전
正,바를 정
祖,할아비 조
足,발 족
左,왼 좌
主,주인 주
住,살 주
重,무거울 중
地,땅 지
紙,종이 지
直,곧을 직
千,일천 천
天,하늘 천
川,내 천
草,풀 초
村,마을 촌
秋,가을 추
春,봄 춘
出,날 출
便,편할 편
平,평평할 평
下,아래 하
夏,여름 하
漢,한나라 한
海,바다 해
花,꽃 화
話,말씀 화
活,살 활
孝,효도 효
後,뒤 후
休,쉴 휴
