word,image
會,모일 회
社,모일 사
急,급할 급
現,나타날 현
聞,들을 문
意,뜻 의
今,이제 금
雪,눈 설
風,바람 풍
勇,날랠 용
弱,약할 약
信,믿을 신
童,아이 동
始,비로소 시
果,열매 과
班,나눌 반
放,놓을 방
消,사라질 소
術,재주 술
樂,즐길 락
和,화할 화
各,각각 각
公,공평할 공
角,뿔 각
理,다스릴 리
共,함께 공
藥,약 약
運,옮길 운
