word,image
月,달 월
火,불 화
水,물 수
木,나무 목
金,쇠 금
土,흙 토
日,날 일
山,메 산
四,넉 사
五,다섯 오
六,여섯 육
七,일곱 칠
八,여덟 팔
九,아홉 구
萬,일만 만
東,동녁 동
西,서녘 서
南,남녘 남
北,북녘 북
大,큰 대
中,가운데 중
小,작을 소
人,사람 인
父,아비 부
母,어미 모
女,여자 녀
兄,형 형
弟,아우 제
寸,마디 촌
門,문 문
韓,나라 한
民,백성 민
國,나라 국
王,임금 왕
軍,군사 군
外,바깥 외
白,흰 백
靑,푸를 청
校,학교 교
長,길 장
先,먼저 선
生,날 생
學,배울 학
年,해 년
敎,가르칠 교
室,집 실
